"year","Mortality.x","Mortality.y","Mortality.x.x","Mortality.y.y","ISO"
2000,NA,NA,NA,NA,"ABW"
2001,NA,NA,NA,NA,"ABW"
2002,NA,NA,NA,NA,"ABW"
2003,NA,NA,NA,NA,"ABW"
2004,NA,NA,NA,NA,"ABW"
2005,NA,NA,NA,NA,"ABW"
2006,NA,NA,NA,NA,"ABW"
2007,NA,NA,NA,NA,"ABW"
2008,NA,NA,NA,NA,"ABW"
2009,NA,NA,NA,NA,"ABW"
2010,NA,NA,NA,NA,"ABW"
2011,NA,NA,NA,NA,"ABW"
2012,NA,NA,NA,NA,"ABW"
2013,NA,NA,NA,NA,"ABW"
2014,NA,NA,NA,NA,"ABW"
2015,NA,NA,NA,NA,"ABW"
2016,NA,NA,NA,NA,"ABW"
2017,NA,NA,NA,NA,"ABW"
2018,NA,NA,NA,NA,"ABW"
2019,NA,NA,NA,NA,"ABW"
2000,137.5449914,85.55713132,37.67115207,777,NA
2001,132.1296314,82.53188388,36.86857678,751,NA
2002,126.4633285,79.36310008,36.03043776,732,NA
2003,120.8348265,76.24338583,35.1846309,710,NA
2004,115.4043538,73.22076952,34.32607447,680,NA
2005,110.1448593,70.28120223,33.50210187,643,NA
2006,105.2067126,67.58222948,32.74777947,608,NA
2007,100.2209939,64.90957431,31.97290805,577,NA
2008,95.33053644,62.38313267,31.262069,551,NA
2009,90.5094233,59.98633496,30.56522362,526,NA
2010,86.11572214,57.79580247,29.88193945,501,NA
2011,82.05748353,55.67965817,29.22051347,480,NA
2012,78.25007097,53.73743013,28.57428522,462,NA
2013,74.81667325,52.00407493,27.95688633,446,NA
2014,71.79495789,50.41558946,27.348936,433,NA
2015,69.13815746,48.95864126,26.7837127,419,NA
2016,66.51592775,47.52724371,26.22490573,408,NA
2017,64.24399372,46.1081401,25.69128825,398,NA
2018,62.07293632,44.79522074,25.13165636,NA,NA
2019,60.05415038,43.59125166,24.5979354,NA,NA
2000,129.2,90.5,60.9,1450,"AFG"
2001,125.2,87.9,59.7,1390,"AFG"
2002,121.1,85.3,58.5,1300,"AFG"
2003,116.9,82.7,57.2,1240,"AFG"
2004,112.6,80,55.9,1180,"AFG"
2005,108.4,77.3,54.6,1140,"AFG"
2006,104.1,74.6,53.2,1120,"AFG"
2007,99.9,71.9,51.7,1090,"AFG"
2008,95.7,69.2,50.3,1030,"AFG"
2009,91.7,66.7,48.9,993,"AFG"
2010,87.8,64.2,47.4,954,"AFG"
2011,84,61.8,46,905,"AFG"
2012,80.3,59.5,44.6,858,"AFG"
2013,76.9,57.3,43.2,810,"AFG"
2014,73.6,55.2,41.9,786,"AFG"
2015,70.4,53.2,40.5,701,"AFG"
2016,67.5,51.3,39.3,673,"AFG"
2017,64.8,49.5,38.2,638,"AFG"
2018,62.3,47.9,37.2,NA,"AFG"
2019,60.1,46.4,36.1,NA,"AFG"
2000,169.4711147,99.16617376,43.95216135,1000,NA
2001,164.3553376,96.5793404,42.90921397,987,NA
2002,158.9838056,93.92350562,41.84866308,973,NA
2003,153.6297794,91.2442253,40.86544028,954,NA
2004,148.2783528,88.57660878,39.90788885,924,NA
2005,143.1011193,86.0171123,39.00919165,890,NA
2006,138.1644716,83.53945121,38.21358493,858,NA
2007,133.4750447,81.17597055,37.51933436,834,NA
2008,129.1176461,79.00153677,36.88893011,821,NA
2009,125.0638226,77.02490628,36.26164215,810,NA
2010,121.38325,75.16024311,35.69794091,798,NA
2011,118.0393257,73.5080295,35.19385313,789,NA
2012,114.9971079,71.96530018,34.74189555,778,NA
2013,112.1911899,70.55418322,34.35797657,767,NA
2014,109.6962866,69.24899712,33.95211279,758,NA
2015,107.2916927,68.00160289,33.57905619,744,NA
2016,104.637694,66.67483055,33.16771618,729,NA
2017,102.0320864,65.31384172,32.72579699,717,NA
2018,99.29113974,63.87577856,32.21974168,NA,NA
2019,96.49428924,62.35233279,31.73890801,NA,NA
2000,204.4,121.5,50.3,827,"AGO"
2001,198.4,118.2,49.2,766,"AGO"
2002,191.5,114.5,48,690,"AGO"
2003,183.8,110.4,46.5,628,"AGO"
2004,175.1,105.7,45.1,574,"AGO"
2005,166.1,100.9,43.5,519,"AGO"
2006,156.4,95.7,42,473,"AGO"
2007,147,90.6,40.5,431,"AGO"
2008,137.7,85.5,39,395,"AGO"
2009,128.7,80.6,37.7,359,"AGO"
2010,120.4,75.9,36.3,326,"AGO"
2011,112.5,71.5,35.1,300,"AGO"
2012,105.1,67.4,33.8,281,"AGO"
2013,98.5,63.7,32.7,269,"AGO"
2014,92.9,60.5,31.7,258,"AGO"
2015,88.1,57.7,30.8,251,"AGO"
2016,84.1,55.5,30,246,"AGO"
2017,80.6,53.5,29.2,241,"AGO"
2018,77.3,51.7,28.6,NA,"AGO"
2019,74.2,49.9,27.9,NA,"AGO"
2000,27.2,24.1,12.1,23,"ALB"
2001,25.8,22.9,11.8,23,"ALB"
2002,24.4,21.7,11.4,21,"ALB"
2003,23,20.4,11.1,21,"ALB"
2004,21.5,19.1,10.9,18,"ALB"
2005,20,17.8,10.6,22,"ALB"
2006,18.5,16.6,10,18,"ALB"
2007,17.1,15.3,9.2,19,"ALB"
2008,15.8,14.1,8.3,20,"ALB"
2009,14.5,12.9,7.4,20,"ALB"
2010,13.3,11.8,6.7,21,"ALB"
2011,12.1,10.8,6.2,22,"ALB"
2012,11.2,10,6,17,"ALB"
2013,10.4,9.3,5.9,16,"ALB"
2014,9.9,8.8,5.9,16,"ALB"
2015,9.6,8.5,6,15,"ALB"
2016,9.4,8.4,6.3,16,"ALB"
2017,9.4,8.4,6.7,15,"ALB"
2018,9.5,8.5,7.1,NA,"ALB"
2019,9.7,8.6,7.5,NA,"ALB"
2000,8.2,7.3,3.8,NA,"AND"
2001,7.7,6.9,3.6,NA,"AND"
